"","DATE","DAY","TIME 24 HOURS","BASE/SUB BASE","COUNTY","ROAD","PLACE","TYPE OF VEHICLE","BRIEF ACCIDENT DETAILS","GENDER","AGE","CAUSE CODE","VICTIM","NO.","id"
"218",2017-08-11,"FRIDAY",NA,"KIKUYU","KIAMBU","GIKAMBURA NDEIYA ROAD","GIKAMBURA SHOPPING CENTRE","UNKNOWN","HIT AND RUN","M","A",98,"PED",1,"645_20170501_20171231"
"219",2017-08-11,"FRIDAY","230","GATUNDU","KIAMBU","GATUNDU KENYATTA","MUTOMO","UNKNOWN","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",NA,"PED",1,"651_20170501_20171231"
"220",2017-08-11,"FRIDAY","40","STAREHE","NAIROBI","THIKA ROAD","MUTHAIGA","UNKNOWN","HIT AND RUN","M","A",98,"PED",1,"652_20170501_20171231"
"221",2017-08-12,"SATURDAY","440","KILIMANI","NAIROBI","NGONG ROAD","ADAMS ARCADE","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","F","40",7,"PED",1,"653_20170501_20171231"
"222",2017-08-12,"SATURDAY","2100","ATHI RIVER","MACHAKOS","NAIROBI MOMBASA","NATION CENTRE","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","30",60,"PED",1,"654_20170501_20171231"
"223",2017-08-12,"SATURDAY","1430","KAYOLE","NAIROBI","JOGOO ROAD","RASTA STAGE","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","F","J",7,"PED",1,"656_20170501_20171231"
"224",2017-08-12,"SATURDAY",NA,"LARI","KIAMBU","LARI","LARI KIAMBU","PRIVATE","THE VEHICLE LOST CONTROL AND ROLLED SEVERAL TIMES","M","A",26,"PAS",1,"658_20170501_20171231"
"225",2017-08-13,"SUNDAY","2030","NGOLIBA","KIAMBU","THIKA-MATUU","AT MAGOGONI AREA","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","60",60,"PED",1,"661_20170501_20171231"
"226",2017-08-13,"SUNDAY","50","DTEO STAREHE","NAIROBI","THIKA SUPERHIGH WAY","NEAR UTALII COLLEGE","PRIVATE","THE TOYOTA ISIS HIT THE TOYOTA FIELDER WHICH STALLED ON THE ROAD DUE TO MECHANICAL PROBLEMS","M","A",76,"DRV",1,"662_20170501_20171231"
"227",2017-08-14,"MONDAY","1930","KISERIAN","KAJIADO","KISERIAN MAGADI","MLIMA CHAIR LADY AREA","COMMERCIAL & PRIVATE","HEAD ON COLLSION","M","16",8,"PAS",1,"664_20170501_20171231"
"228",2017-08-16,"WEDNESDAY","2100","LANGATA","NAIROBI","SOUTHERN BY PASS","NEAR RAILA ESTATE","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","14",98,"PED",1,"670_20170501_20171231"
"229",2017-08-17,"THURSDAY","1000","KIAMBU","KIAMBU","THIKA-GARISSA","TOWBA PETROL STATION","PRIVATE","THE PASSENGER WAS SANDWICHED BETWEEN TWO VEHICLES","M","A",98,"PAS",1,"673_20170501_20171231"
"230",2017-08-17,"THURSDAY","1100","MURANGA","MURANGA","MURANGA-KIRIAINI","MUIRWA","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","25",26,"PED",1,"674_20170501_20171231"
"231",2017-08-17,"THURSDAY","1300","MURANGA","MURANGA","KIANGUNYI KIHURO",NA,"MOTOR CYCLE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","9",7,"PED",1,"676_20170501_20171231"
"232",2017-08-17,"THURSDAY","1930","KIAMBU","KIAMBU","KIAMBU-KAMITI","KAMWAKI","UNKNOWN","HIT AND RUN","M","9",60,"PED",1,"679_20170501_20171231"
"233",2017-08-17,"THURSDAY","2300","EMBAKAZI","NAIROBI","NORTH AIRPORT","KABANSORA","PSV","THE VEHICLE HIT A MOTOR CYCLE","M","24",98,"PIL",1,"680_20170501_20171231"
"234",2017-08-17,"THURSDAY","2300","GIGIRI","NAIROBI","NORTHERN BY PASS","GITHONGORI","UNKNOWN","HIT AND RUN","A","A",98,"PED",1,"681_20170501_20171231"
"235",2017-08-18,"FRIDAY","1630","KARURI","KIAMBU","LIMURU NAIROBI","KIANJOGU AREA","COMMERCIAL","HEAD ON COLLISION","M","35",72,"DRV",2,"686_20170501_20171231"
"236",2017-08-19,"SATURDAY","800","KISERIAN","KAJIADO","NGONG KISERIAN","ROIMEN AREA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",7,"PED",1,"687_20170501_20171231"
"237",2017-08-19,"SATURDAY","1720","KAYOLE","NAIROBI","KANGUNDO ROAD","KOMAROCK PETROL STATION","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","35",72,"PED",1,"691_20170501_20171231"
"238",2017-08-20,"SUNDAY","700","BURUBURU","NAIROBI","OUTERING","SHELL PETROL STATION","PSV","THE VEHICLE LOST CONTROL AND LANDED INTO A DITCH","M","37",26,"PAS",1,"693_20170501_20171231"
"239",2017-08-20,"SUNDAY","830","GIGIRI","NAIROBI","WAIYAKI WAY","ABC AREA","PSV","THE PASSENGER JUMPED OUT OFF THE VEHICLE AND FELL DOWN","M","A",58,"PAS",1,"694_20170501_20171231"
"240",2017-08-20,"SUNDAY","1645","MAKONGENI","NAIROBI","MUTHURWA","MUTHURWA","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",63,"PED",1,"696_20170501_20171231"
"241",2017-08-21,"MONDAY","1240","DTEO CENTRAL","NAIROBI","NEW PUMWANI ROAD","ECHO ROUNDABOUT","MOTOR CYCLE","THE M/CYCLE LOST CONTROL AND ROLLED","M","A",26,"MCY",1,"698_20170501_20171231"
"242",2017-08-22,"TUESDAY","1915","EMBAKASI","NAIROBI","MOMBASA ROAD","NEAR AIRPORT","UNKNOWN","HIT AND RUN","M","33",98,"PCY",1,"701_20170501_20171231"
"243",2017-08-24,"THURSDAY","2200","MAKONGENI","NAIROBI","JOGOO ROAD","LANDHIES/JOGOO ROAD","UNKNOWN","HIT AND RUN","M","16",98,"PED",1,"708_20170501_20171231"
"244",2017-08-24,"THURSDAY","2130","MATUU","MACHAKOS","MATUU MWINGI","IELANTI AREA","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",60,"PED",1,"709_20170501_20171231"
"245",2017-08-25,"FRIDAY","740","DAGORETI","NAIROBI","WAIYIKI WAY","CCK AREA","PRIVATE","THE VEHICLE HIT A PEDAL CYCLE","M","A",98,"PCY",1,"711_20170501_20171231"
"246",2017-08-25,"FRIDAY","2200","MAKUYU","MURANGA","KENOL-SAGANA","KWA MUTHIKE AREA","COMMERCIAL","HEAD ON COLLISION","M","A",29,"PAS",2,"713_20170501_20171231"
"247",2017-08-25,"FRIDAY","1700","CENTRAL","NAIROBI","LADHIES ROAD","MACHAKOS BUS TERMINUS","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","2",98,"PED",1,"715_20170501_20171231"
"248",2017-08-26,"SATURDAY","600","ATHI RIVER","MACHAKOS","MOMBASA-NAIROBI","NEAR BRIDGE 39","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","25",60,"PED",1,"720_20170501_20171231"
"249",2017-08-26,"SATURDAY","30","ATHI RIVER","MACHAKOS","NAIROBI-MOMBASA","MLOLONGO AREA","UNKNOWN","HIT AND RUN","M","33",60,"PED",1,"730_20170501_20171231"
"250",2017-08-27,"SUNDAY","1130","KAYOLE","NAIROBI","KAYOLE","MASIMBA","PSV","THE VICTIM FELL DOWN WHILE THE VEHICLE WAS IN MOTION AND WAS OVER RAN","M","25",53,"PAS",1,"733_20170501_20171231"
"251",2017-08-27,"SUNDAY","1930","KIAMBU","KIAMBU","NAIROBI NAIVASHA","KIMENDE","UNKNOWN","HIT AND RUN","F","50",98,"PED",1,"742_20170501_20171231"
"252",2017-08-27,"SUNDAY","2300","KAJIADO","KAJIADO","NGONG KISERIAN","KAURAI JUNCTION","PRIVATE & MOTOR CYCLE","THE VEHICLE HIT THE M/CYCLE FROM BEHIND","M","A",4,"MCY",1,"747_20170501_20171231"
"253",2017-08-28,"MONDAY","UNKNOWN TIME","KIAMBU","KIAMBU","NORTHERN BY PASS","NJATHAINI AREA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",60,"PED",1,"754_20170501_20171231"
"254",2017-08-28,"MONDAY","630","KILIMANI","NAIROBI","NGONG ROAD","NEAR UCHUMI SUPERMARKET","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","32",63,"PED",1,"755_20170501_20171231"
"255",2017-08-28,"MONDAY","2020","MURANGA","MURANGA","MURANGA KIRIANI","MOGEKA AREA","UNKNOWN","HIT AND RUN","F","72",98,"PED",1,"760_20170501_20171231"
"256",2017-08-30,"WEDNESDAY","1320","LARI","KIAMBU","NAIROBI-NAIVASHA","KIMENDE STAGE","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","69",60,"PED",1,"768_20170501_20171231"
"257",2017-08-30,"WEDNESDAY","1820","DTEO MAKONGENI","NAIROBI","MUTHURWA ACCESS ROAD","NEAR MUTHURWA POLICE POST","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","28",98,"PED",1,"770_20170501_20171231"
"258",2017-09-01,"FRIDAY","2315","KARURI","KIAMBU","NDENDERU-KARURU","RUENO AREA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","58",7,"PED",1,"776_20170501_20171231"
"259",2017-09-02,"SATURDAY","700","KAYOLE","NAIROBI","KANGUNDO ROAD","HURLINGHAM","UNKNOWN","HIT AND RUN","M","A",98,"PED",1,"777_20170501_20171231"
"260",2017-09-02,"SATURDAY","900","KAYOLE DTO","NAIROBI","JOGOO ROAD","IMMACULATE CATHOLIC CHURCH","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",7,"PED",1,"781_20170501_20171231"
"261",2017-09-02,"SATURDAY","1430","KIKUYU","KIAMBU","NAIROBI NAIASHA","RUNGIRI","PSV","THE VICTIM FELL DOWN WHILE THE VEHICLE WAS IN MOTION","M","A",69,"PAS",1,"783_20170501_20171231"
"262",2017-09-02,"SATURDAY","2200","DAGORETTI","NAIROBI","WAIYAKI WAY","KABETE","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","42",7,"PED",1,"784_20170501_20171231"
"263",2017-09-02,"SATURDAY","400","LANGATA","NAIROBI","LANGATA","CARNIVORE RESTAURANT","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",7,"PED",1,"785_20170501_20171231"
"264",2017-09-03,"SUNDAY","700","INDO AREA","NAIROBI","MOMBASA","LUSAKA R/ABOUT","PRIVATE","THE TOYOTA MARK II HIT THE NISSAN BLUE","M","A",37,"DRV",1,"786_20170501_20171231"
"265",2017-09-03,"SUNDAY","400","LARI","KIAMBU","NAIROBI NAIVASHA","VIEW POINT","PSV & PRIVATE","HEAD ON COLLISION","M","47",37,"DRV",1,"787_20170501_20171231"
"266",2017-09-03,"SUNDAY","UNKNOWN TIME","MURANGA","MURANGA","MURANGA GITU","GIYAKARENGO","MOTOR CYCLE","THE CYCLE LOST CONTROL AND RAMMED INTO A HEAP OF MURRAM","M","A",7,"PIL",1,"788_20170501_20171231"
"267",2017-09-03,"SUNDAY","130","MURANGA","MURANGA","MURANGA SAGANA","NORKAS","PRIVATE & MOTOR CYCLE","HEAD ON COLLISION","M","A",7,"MCY",1,"792_20170501_20171231"
"268",2017-09-03,"SUNDAY","2315","KAYOLE","NAIROBI","JOGOO","BURMA","UNKNOWN","HIT AND RUN","M","A",98,"PED",1,"794_20170501_20171231"
"269",2017-09-03,"SUNDAY","100","DAGORETI","NAIROBI","WAIYAKI","N MARKET","COMMERCIAL","THE VEHICLE LOST CONTROL AND ROLLED","M","A",26,"PAS",1,"795_20170501_20171231"
"270",2017-09-05,"TUESDAY","UNKNOWN TIME","DTEO KAREN","NAIROBI","SOUTHERN BY PASS","CHINA SITE","UNKNOWN","HIT AND RUN","M","A",98,"PCY",1,"802_20170501_20171231"
"271",2017-09-06,"WEDNESDAY","UNKNOWN TIME","MATUU","MACHAKOS","KITHIMANI KIMANGU","KAUMONI AREA","MOTOR CYCLE","THE CYCLE LOST CONTROL AND LANDED INTO A DITCH","M","40",47,"MCY",1,"803_20170501_20171231"
"272",2017-09-06,"WEDNESDAY","1530","KASARANI","NAIROBI","THIKA SUPER HIGHWAY","NEAR ROASTERS","PSV & COMMERCIAL","THE LORRY GOT A TYRE BURST AND LOST CONTROL HITTING THE BUS WHICH VEERED OFF THE ROAD AND HIT THE MATATU","M","A",79,"DRV",1,"804_20170501_20171231"
"273",2017-09-06,"WEDNESDAY","1530","KASARANI","NAIROBI","THIKA SUPER HIGHWAY","NEAR ROASTERS","PSV & COMMERCIAL","THE LORRY GOT A TYRE BURST AND LOST CONTROL HITTING THE BUS WHICH VEERED OFF THE ROAD AND HIT THE MATATU","M & F","A",79,"PAS",9,"805_20170501_20171231"
"274",2017-09-07,"THURSDAY","1345","KIAMBU","KIAMBU","KIAMBU-THIKA","NGOIWA","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",68,"PED",1,"808_20170501_20171231"
"275",2017-09-07,"THURSDAY","640","KARURI","KIAMBU","LIMURU RUAKA","KIANJOGU","COMMERCIAL","THE VEHICLE LOST CONTROL AND KNOCKED DOWN THE VICTIM","F","10",26,"PED",1,"809_20170501_20171231"
"276",2017-09-07,"THURSDAY","2000","KIAMBU","KIAMBU","NORTHERN BY PASS","NJATHAINI","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",36,"PED",1,"810_20170501_20171231"
"277",2017-09-08,"FRIDAY","2030","MAKUYU","MURANGA","KENOL-MURANGA","NEAR GOLDEN PALM HOTEL","PRIVATE & PSV","THE MATATU HIT THE M/BENZ AND LOST CONTROL AND ROLLED","F","54",9,"PAS",1,"814_20170501_20171231"
"278",2017-09-09,"SATURDAY","500","CENTRAL","NAIROBI","NEW PUMWANI ROAD","NEAR RIVER SIDE","UNKNOWN","HIT AND RUN","M","32",98,"PED",1,"816_20170501_20171231"
"279",2017-09-09,"SATURDAY","600","GIGIRI","NAIROBI","MURANGA ROAD","NEAR JAMHURI FOOT BRIDGE","UNKNOWN","HIT AND RUN","M","A",63,"PED",1,"817_20170501_20171231"
"280",2017-09-09,"SATURDAY","815","THIKA","KIAMBU","THIKA SUPERHIGHWAY","TROJAN PETROL STATION","PRIVATE","THE VEHICLE LOST CONTROL HITTING A CONCRETE PILLAR","F","24",26,"PAS",1,"818_20170501_20171231"
"281",2017-09-09,"SATURDAY","1400","MAKUYU","MURANGA","GAKUNGU MITHINI","KIANJOGU BRIDGE","COMMERCIAL","THE VICTIM FELL DOWN FROM THE MOVING VEHICLE","M","35",72,"PAS",1,"819_20170501_20171231"
"282",2017-09-09,"SATURDAY","1900","KIKUYU","KIAMBU","LANGATA KIKUYU","THOGOTO AREA","PRIVATE","THE VEHICLE LOST CONTROL AND ROLLED","M","40",26,"DRV",1,"820_20170501_20171231"
"283",2017-09-10,"SUNDAY","2000","BURUBURU","NAIROBI","OUTERING","NAIVAS SUPERMARKET","PRIVATE","HEAD ON COLLISION","M","A",8,"DRV",1,"828_20170501_20171231"
"284",2017-09-11,"MONDAY","2230","MAKONGENI","NAIROBI","JOGOO ROAD","CHURCH ARMY STAGE","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","44",7,"PED",1,"833_20170501_20171231"
"285",2017-09-11,"MONDAY","1945","RUIRU","KIAMBU","EASTERN BY PASS","MEMBLEY","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","J",63,"PED",1,"834_20170501_20171231"
"286",2017-09-11,"MONDAY","1700","RUIRU","KIAMBU","THIKA NAIROBI","GITHURAI","PSV","THE CONDUCTOR FELL FROM THE MOVING VEHICLE","M","A",73,"PAS",1,"836_20170501_20171231"
"287",2017-09-12,"TUESDAY","2200","PANGANI","NAIROBI","THIKA SUPERHIGH WAY","MUTHAIGA FOOT BRIDGE","UNKNOWN","HIT & RUN","M","28",98,"PED",1,"841_20170501_20171231"
"288",2017-09-13,"WEDNESDAY","1730","THIKA","KIAMBU","THIKA SUPER HIGHWAY","TROJAN PETROL STN","MOTOR CYCLE","THE CYCLE LOST CONTROL AND ROLLED SEVERAL TIMES","M","A",54,"PIL",1,"848_20170501_20171231"
"289",2017-09-13,"WEDNESDAY","2340","THIKA","KIAMBU","KIBOKO THIKA","UTI JUNCTION","MOTOR CYCLE","THE CYCLE LOST CONTROL AND HIT A TREE","M","A",26,"MCY",1,"849_20170501_20171231"
"290",2017-09-16,"SATURDAY","2100","STAREHE","NAIROBI","THIKA SUPER HIGHWAY","KCA UNIVERSITY","UNKNOWN","HIT & RUN","M","A",98,"MCY",1,"853_20170501_20171231"
"291",2017-09-16,"SATURDAY","2320","TIGONI","KIAMBU","NAIROBI-NAIVASHA","FLYOVER","PRIVATE","THE VEHICLE LOST CONTRL, HIT GUARD RAILS AND FELL OVER FROM OVERPASS TO UNDERPASS","M","A",26,"DRV",1,"855_20170501_20171231"
"292",2017-09-16,"SATURDAY","2000","KIKUYU","KIAMBU","NAIROBI-NAIVASHA","87 AREA","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",29,"PED",1,"856_20170501_20171231"
"293",2017-09-16,"SATURDAY","800","RUIRU","KIAMBU","THIKA SUPER HIGHWAY","KAHAWA WENDANI","UNKNOWN","HIT & RUN","M","A",98,"PED",1,"857_20170501_20171231"
"294",2017-09-17,"SUNDAY","130","DTEO KILIMANI","NAIROBI","EASTERN BY PASS","NEAR CHINA KENYA","GOVERNMENT & PRIVATE","HEAD ON COLLISION","M","A",26,"DRV",1,"859_20170501_20171231"
"295",2017-09-17,"SUNDAY","630","THIKA","KIAMBU","MUKARARA KIUNYU","AT A CORNER","MOTOR CYCLE","THE CYCLE LOST CONTROL AND HIT A CULVERT","M","A",26,"MCY",1,"860_20170501_20171231"
"296",2017-09-17,"SUNDAY","630","THIKA","KIAMBU","MUKARARA KIUNYU","AT A CORNER","MOTOR CYCLE","THE CYCLE LOST CONTROL AND HIT A CULVERT","M","A",26,"PIL",1,"861_20170501_20171231"
"297",2017-09-17,"SUNDAY","1640","DTEO EMBAKASI","NAIROBI","EASTERN BY PASS","GATE TO 75 TANK BATTALION CAMP","MOTOR CYCLE & COMMERCIAL","THE VEHICLE KNOCKED DOWN THE CYCLE","M","A",29,"MCY",1,"862_20170501_20171231"
"298",2017-09-17,"SUNDAY","2130","ISINYA","KAJIADO","ISINYA KITENGELA","NEAR KOBIL PETROL STN","UNKNOWN","HIT AND RUN","M","21",63,"PED",1,"864_20170501_20171231"
"299",2017-09-17,"SUNDAY","2345","THIKA","KIAMBU","THIKA MATUU","AT LEATHER","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",63,"PED",1,"865_20170501_20171231"
"300",2017-09-17,"SUNDAY","30","MURANGA","MURANGA","MURANGA KANGEMA","ST MARY AREA","MOTOR CYCLE & PRIVATE","HEAD ON COLLISION","M","20",8,"MCY",1,"868_20170501_20171231"
"301",2017-09-17,"SUNDAY","2200","ATHI RIVER","MACHAKOS","NAIROBI MOMBASA","SABAKI AREA","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","F","32",60,"PED",1,"869_20170501_20171231"
"302",2017-09-18,"MONDAY","430","ONGATA RONGAI","KAJIADO","MAGADI ROAD","MAASAI LODGE STAGE","UNKNOWN","HIT & RUN","F","32",98,"PED",1,"872_20170501_20171231"
"303",2017-09-19,"TUESDAY","1900","MURANGA","MURANGA","MURANGA-KIRIANI","GATURI","MOTOR CYCLE & PRIVATE","THE MOTOR CYCLE RAMMED INTO THE MOTOR VEHICLE","M","A",26,"MCY",1,"882_20170501_20171231"
"304",2017-09-19,"TUESDAY","1800","RUAI","NAIROBI","KANGUNDO ROAD","KAMULU AREA","PRIVATE","THE VEHICLE HIT A PEDAL CYCLE","M","A",7,"PCY",1,"883_20170501_20171231"
"305",2017-09-19,"TUESDAY","1820","STAREHE","NAIROBI","JUJA ROAD","STAGE 10","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",7,"PED",1,"884_20170501_20171231"
"306",2017-09-20,"WEDNESDAY","800","KISERIAN","KAJIADO","KISERIAN TOWNSHIP","MEAT POINT","COMMERCIAL","THE TURN BOY FELL DOWN AND WAS OVERAN","M","A",98,"PED",1,"890_20170501_20171231"
"307",2017-09-21,"THURSDAY","UNKNOWN","INDO AREA","NAIROBI","MOMBASA ROAD","OPPOSITE KANISANI AREA","UNKNOWN","HIT & RUN","M","A",98,"PED",1,"893_20170501_20171231"
"308",2017-09-21,"THURSDAY","1430","KILIMANI","NAIROBI","BISHOP ROAD JUNCTION","SIXTH AVENUE","MOTOR CYCLE & COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",98,"MCY",1,"894_20170501_20171231"
"309",2017-09-21,"THURSDAY","2030","EMBAKASI","NAIROBI","OUTERING ROAD","OPPOSITE TASSIA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",60,"PED",1,"897_20170501_20171231"
"310",2017-09-21,"THURSDAY","1700","MACHAKOS","MACHAKOS","KANGUNDO MACHAKOS","TUMBA BRIDGE","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",63,"PED",1,"898_20170501_20171231"
"311",2017-09-21,"THURSDAY","2140","CENTRAL","NAIROBI","HAILE SELASIE AVENUE","NEAR JESUS IS ALIVE MINISTRIES","UNKNOWN","HIT & RUN","M","28",98,"PED",1,"899_20170501_20171231"
"312",2017-09-21,"THURSDAY","2210","DAGORETTI","NAIROBI","WAIYAKI WAY","KANGEMI FLYOVER","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",60,"PED",1,"900_20170501_20171231"
"313",2017-09-23,"SATURDAY","1410","DTEO LANGATA","NAIROBI","SOUTHERN BY PASS","NATIONAL HOUSING ESTATE","PRIVATE","THE VEHICLE LOST CONTROL,VEERED OFF THE ROAD AND RAMMED INTO THE BRIDGE","M","29",26,"DRV",1,"901_20170501_20171231"
"314",2017-09-23,"SATURDAY","800","KAJIADO","KAJIADO","OLGOS KIKUPRO ROAD","OLGOS AREA","COMMERCIAL","THE VEHICLE LOST CONTROL DUE TO BRAKE FAILURE","M","23",78,"PAS",1,"903_20170501_20171231"
"315",2017-09-23,"SATURDAY","1700","MATUU","MACHAKOS","KIVANDINI CHASIONI ROAD","KIVANDINI AREA","PRIVATE","THE VEHICLE LOST CONTROL AFTER HITTING A POT HOLE","M","59",92,"DRV",1,"904_20170501_20171231"
"316",2017-09-24,"SUNDAY","750","ATHI RIVER","MACHAKOS","NAIROBI MOMBASA","KAPA AREA","COMMERCIAL","THE VICTIM TRIED TO BOARD THE VEHICLE WHILE IT WAS ON MOTION WHEN HE WAS RAN OVER BY THE VEHICLE","M","26",72,"PED",1,"909_20170501_20171231"
"317",2017-09-24,"SUNDAY","700","EMBAKASI","NAIROBI","OUTERING ROAD","TASIA AREA","UNKNOWN","HIT & RUN","M","20",98,"PED",1,"910_20170501_20171231"
"318",2017-09-24,"SUNDAY","1100","STAREHE","NAIROBI","OUTERING ROAD","NEAR KARIOBANGI MARKET","PSV & MOTOR CYCLE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",8,"MCY",1,"911_20170501_20171231"
"319",2017-09-24,"SUNDAY","2200","KIKUYU","KIAMBU","NAIVASHA NAIROBI","SIGONA AREA","MOTOR CYCLE","THE CYCLE LOST CONTROL ND HIT CONCRETE BARRIER","M","26",44,"MCY",1,"918_20170501_20171231"
"320",2017-09-24,"SUNDAY","2345","KANGUNDO","MACHAKOS","KANGUNDO TALA","NEAR TALA BOYS","MOTOR CYCLE & PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","27",98,"MCY",1,"919_20170501_20171231"
"321",2017-09-25,"MONDAY","730","KISERIAN","KAJIADO","MAGADI KISERIAN ROAD","AT SHELL PETROL STATION","PRIVATE & MOTOR CYCLE","THE CYCLIST RAMMED INTO THE LORRY","M","23",29,"MCY",1,"920_20170501_20171231"
"322",2017-09-25,"MONDAY","1145","KANGUNDO","MACHAKOS","FEEDER ROAD","JOSKA AREA","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","34",72,"PAS",1,"923_20170501_20171231"
"323",2017-09-26,"TUESDAY","1130","DTEO KILIMANI","NAIROBI","HAILE SELASIE","NEAR NHIF","COMMERCIAL & MOTOR CYCLE","HEAD ON COLLISION","M","A",98,"MCY",1,"926_20170501_20171231"
"324",2017-09-26,"TUESDAY","1430","LARI","KIAMBU","NAIROBI NAIVASHA","AT KWA BEN AREA","MOTOR CYCLE & PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","32",22,"MCY",1,"932_20170501_20171231"
"325",2017-09-26,"TUESDAY","2200","KASARANI","NAIROBI","THIKA ROAD","NEAR HOMELAND ZEBRA CROSSING","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","30",98,"PED",1,"933_20170501_20171231"
"326",2017-09-27,"WEDNESDAY","1245","DTEO KAYOLE","NAIROBI","RUAI GITHURAI ROAD","NEAR KYAVULUWI AREA","MOTOR CYCLE & PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","36",29,"MCY",1,"935_20170501_20171231"
"327",2017-09-27,"WEDNESDAY","1530","DTEO KAYOLE","NAIROBI","EASTERN BY PASS","NEAR INTERCHANGE","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",98,"PED",1,"937_20170501_20171231"
"328",2017-09-28,"THURSDAY","630","DTEO KAYOLE","NAIROBI","SPINE ROAD","NEAR EQUITY BANK","PSV","THE VICTIM TRIED TO BOARD THE BUS WHILE THE VEHICLE WAS IN MOTION","M","A",69,"PAS",1,"941_20170501_20171231"
"329",2017-09-28,"THURSDAY","2000","MACHAKOS","MACHAKOS","MOMBASA NAIROBI","SBI AREA","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","F","38",98,"PED",1,"946_20170501_20171231"
"330",2017-09-29,"FRIDAY","630","MUTHAIGA","NAIROBI","GITANGA","VALLEY ARCADE","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",98,"PCY",1,"947_20170501_20171231"
"331",2017-09-30,"SATURDAY","1000","RUAI","NAIROBI","KANGUNDO","HURLINGHAM","COMMERCIAL & MOTOR CYCLE","HIT AND RUN","M","A",98,"MCY",1,"952_20170501_20171231"
"332",2017-09-30,"SATURDAY","1935","GATUNDU","KIAMBU","THIKA FLY OVER","KIANGUNU","PRIVATE","HEAD ON COLLISION","M","A",7,"PAS",2,"955_20170501_20171231"
"333",2017-09-30,"SATURDAY","240","MACHAKOS","MACHAKOS","NAIROBI MOMBASA","ASTROL PETROL STATION","UNKNOWN","HIT AND RUN","M","A",98,"PED",1,"957_20170501_20171231"
"334",2017-10-01,"SUNDAY","1400","NGOLIBA","KIAMBU","THIKA-MATUU","GATUANYAGA","PSV","THE VEHICLE HAD A TYRE BURST AND LANDED IN A DITCH","M","A",79,"DRV",1,"958_20170501_20171231"
"335",2017-10-02,"MONDAY","730","THIKA","KIAMBU","THIKA NAIROBI","CLEVERS AREA","UNKNOWN","HIT AND RUN","F","17",60,"PED",1,"960_20170501_20171231"
"336",2017-10-03,"TUESDAY","1000","MARAGUA","MURANGA","KENOL-MURANGA","BORDER BRIDGE AREA","PRIVATE","THE VEHICLE WAS FERRYING 10 PASSENGERS, LOST CONTROL AND VEERED OFF THE ROAD","F","A",26,"PAS",2,"964_20170501_20171231"
